row_ref,field_key,issue_type,severity,details,original,suggestion,human_decision,notes
ROW:2|KEY:If_you_are_applying_for_an_account_in_the_UK_but_the_entity_for_which_you_are_requesting_an_account_is_not_incorporated_in_the_UK_you_may_wish_to_contact_your_Relationship_Director_first_in_order_to_discuss_your_requirements,If_you_are_applying_for_an_account_in_the_UK_but_the_entity_for_which_you_are_requesting_an_account_is_not_incorporated_in_the_UK_you_may_wish_to_contact_your_Relationship_Director_first_in_order_to_discuss_your_requirements,Too Long,High,41 words,"If you are applying for an account in the UK but the entity for which you are requesting an account is not incorporated in the UK, you may wish to contact your Relationship Director first, in order to discuss your requirements","If you are applying for an account in the UK but the entity for which you are requesting an account is not incorporated in the UK, you may wish to contact your Relationship Director first, to discuss your requirements",,
ROW:2|KEY:GENIndicativeAppetitePeppositioninfluence,GENIndicativeAppetitePeppositioninfluence,Too Long,High,31 words,"Are there any Politically Exposed Persons (PEPs) that are not an owner or controller, who hold a position of significant influence including but not limited to the provider of a loan?","Are there any Politically Exposed Persons (PEPs) that are not an owner or controller, who hold a position of significant influence including but not limited to the provider of a loan?",,
ROW:2|KEY:GENIndicativeAppetitePepinvestpersrelationship,GENIndicativeAppetitePepinvestpersrelationship,Too Long,High,43 words,"Are any of the fund's investors or Ultimate Beneficial Owners (UBOs) one of a group of Politically Exposed Persons (PEPs) sharing a close personal relationship, who individually may have less than 10% ownership, but together have an accumulative ownership of 10% or more?","Are any of the fund's investors or Ultimate Beneficial Owners (UBOs) one of a group of Politically Exposed Persons (PEPs) sharing a close personal relationship, who individually may have less than 10% ownership, but together have an accumulative ownership of 10% or more?",,
ROW:2|KEY:GENIndicativeAppetiteRBSIProductOptionsComplex,GENIndicativeAppetiteRBSIProductOptionsComplex,Too Long,High,41 words,RBSI is a relationship focussed bank and as such our appetite to open bank accounts is higher where we provide other bank products. Please highlight below what RBSI products you currently benefit from or would like to consider in the future?,RBSI is a relationship focussed bank and as such our appetite to open bank accounts is higher where we provide other bank products. Please highlight below what RBSI products you currently benefit from or would like to consider in the future?,,
ROW:2|KEY:GENUKIndicativeAppetitePeppositioninfluence,GENUKIndicativeAppetitePeppositioninfluence,Too Long,High,31 words,"Are there any Politically Exposed Persons (PEPs) that are not an owner or controller, who hold a position of significant influence including but not limited to the provider of a loan?","Are there any Politically Exposed Persons (PEPs) that are not an owner or controller, who hold a position of significant influence including but not limited to the provider of a loan?",,
ROW:2|KEY:GENUKIndicativeAppetitePepinvestpersrelationship,GENUKIndicativeAppetitePepinvestpersrelationship,Too Long,High,43 words,"Are any of the fund's investors or Ultimate Beneficial Owners (UBOs) one of a group of Politically Exposed Persons (PEPs) sharing a close personal relationship, who individually may have less than 10% ownership, but together have an accumulative ownership of 10% or more?","Are any of the fund's investors or Ultimate Beneficial Owners (UBOs) one of a group of Politically Exposed Persons (PEPs) sharing a close personal relationship, who individually may have less than 10% ownership, but together have an accumulative ownership of 10% or more?",,
ROW:2|KEY:GENUKIndicativeAppetiteRBSIProductOptionsComplex,GENUKIndicativeAppetiteRBSIProductOptionsComplex,Too Long,High,41 words,RBSI is a relationship focussed bank and as such our appetite to open bank accounts is higher where we provide other bank products. Please highlight below what RBSI products you currently benefit from or would like to consider in the future?,RBSI is a relationship focussed bank and as such our appetite to open bank accounts is higher where we provide other bank products. Please highlight below what RBSI products you currently benefit from or would like to consider in the future?,,
ROW:2|KEY:GENConsolidated,GENConsolidated,Too Long,High,64 words,"Does the consolidated group / fund, as at the latest financial year consolidated accounts satisfy two or more of the following: (1)  income of more than £5.6m?  (2)  total assets (gross) on balance Sheet of more than £2.8m? (3) more than 50 employees? (Please note, we will require evidence of this by way of financial accounts and/or investor report as part of this application.)","Does the consolidated group / fund, as at the latest financial year consolidated accounts satisfy two or more of the following: (1) income of more than £5.6m?",,
ROW:2|KEY:GENStandalone,GENStandalone,Too Long,High,65 words,"Does the entity (on a standalone basis), as at the latest financial year individual accounts have two or more of the following: (1)  income of more than £5.6m?  (2)  total assets (gross) on balance Sheet of more than £2.8m? (3) more than 50 employees? (Please note, we will require evidence of this by way of financial accounts and/or investor report as part of this application.)","Does the entity (on a standalone basis), as at the latest financial year individual accounts have two or more of the following: (1) income of more than £5.6m?",,
ROW:2|KEY:GENHalfyearConsolidated,GENHalfyearConsolidated,Too Long,High,61 words,"Within the next 6 months, does the consolidated group/fund  expect to have two or more of the following: (1)  income of more than £5.6m?  (2)  total assets (gross) on balance Sheet of more than £2.8m? (3) more than 50 employees? (Please note, we will require evidence of this by way of financial accounts and/or investor report as part of this application.)","Within the next 6 months, does the consolidated group/fund expect to have two or more of the following: (1) income of more than £5.6m?",,
